"id_cordee","lib_cordee","region","academie","departement","commune","composante_cordee","lycees_sources"
"C0098","OPTIM","Rhône-Alpes","Lyon",69,"Villeurbanne","LYCEES SOURCES","Lycée Brossolette"
"C0101","Parcours d'excellence des STI","Rhône-Alpes","Lyon",69,"Décine","LYCEES SOURCES","Lycée C. Chaplin"
"C0091","Ruralité : ambition, mobilité et réussite","Limousin","Limoges",19,"Brive","LYCEE(S) AVEC CPGE","Lycée Cabanis"
"C0089","Escapade","Limousin","Limoges",19,"Brive","LYCEES SOURCES","Lycée Cabanis"
"C0091","Ruralité : ambition, mobilité et réussite","Limousin","Limoges",19,"Brive","LYCEES SOURCES","Lycée Cabanis"
"C0178","Groupe ESC Troyes","Champagne-Ardennes","Reims",10,"Troyes","LYCEES SOURCES","Lycée Camille Claudel"
"C0065","OPTIM","Bourgogne","Dijon",71,"Digoin","LYCEES SOURCES","Lycée Camille Claudel"
"C0163","Nouvel élan (ParisTech / Janson de Sailly","Ile-de-France","Paris",95,"Vauréal","LYCEES SOURCES","Lycée Camille Claudel"
"C0229","Ambitions supérieures - préparation IEP","Ile-de-France","Versailles",95,"Vaureal","LYCEES SOURCES","Lycée Camille Claudel"
"C0034","Horizons","Aquitaine","Bordeaux",33,"Bordeaux","LYCEE(S) AVEC CPGE","Lycée Camille Jullian"
"C0229","Ambitions supérieures - préparation IEP","Ile-de-France","Versailles",95,"Pontoise","LYCEES SOURCES","Lycée Camille Pissaro"
"C0073","Vers une prépa scientifique pour l'égalité des chances","Rhône-Alpes","Grenoble",26,"Valence","TETE(S) DE CORDEE","Lycée Camille Vernet"
"C0073","Vers une prépa scientifique pour l'égalité des chances","Rhône-Alpes","Grenoble",26,"Valence","LYCEE(S) AVEC CPGE","Lycée Camille Vernet"
"C0015","Spé IEP","Provence Alpes Côte d'Azur","Aix-Marseille",26,"Valence","LYCEES SOURCES","Lycée Camille Vernet"
