"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0511756G","COURS DE PROMOTION SOCIALE","LYCEE LIBERGIER","55 RUE LIBERGIER","REIMS",51,51100
"0530071P","LYCEE PROFESSIONNEL PRIVE","N-D DE LA MISERICORDE","25 RUE DU MANS","LAVAL",53,53000
"0530073S","LYCEE PROFESSIONNEL PRIVE","DON BOSCO","18  BOULEVARD ANATOLE FRANCE","MAYENNE CEDEX",53,53102
"0530079Y","LP LYCEE DES METIERS","LEONARD DE VINCI","129  BOULEVARD DE L EUROPE","MAYENNE CEDEX",53,53103
"0530081A","LYCEE GEN.ET TECH.AGRICOLE","LAVAL","321  ROUTE DE ST NAZAIRE","LAVAL CEDEX",53,53013
"0510017S","LYCEE PROFESSIONNEL","GODART ROGER","8 RUE GODART ROGER","EPERNAY CEDEX",51,51331
"0510031G","LYCEE GENERAL","GEORGES CLEMENCEAU","46 avenue GEORGES CLEMENCEAU","REIMS CEDEX 2",51,51682
"0510032H","LYCEE GENERAL ET TECHNOLOGIQUE","JEAN JAURES","17  RUE RUINART DE BRIMONT","REIMS CEDEX",51,51062
"0510034K","LYCEE GENERAL ET TECHNOLOGIQUE","FRANKLIN ROOSEVELT","10  RUE ROOSEVELT","REIMS CEDEX",51,51096
"0501839C","LYCEE GENERAL ET TECHNOLOGIQUE","SIVARD DE BEAULIEU","7 bis rue SIVARD DE BEAULIEU","CARENTAN LES MARAIS",50,50500
"0501677B","LP LYCEE DES METIERS","SAUXMARAIS","444  RUE DE LA CHASSE AUX LOUPS","CHERBOURG EN COTENTIN",50,50110
"0520844K","LYCEE GENERAL ET TECHNOLOGIQUE","EDME BOUCHARDON","16  RUE YOURI GAGARINE","CHAUMONT CEDEX 9",52,52903
"0492369J","INST.FORMATION AIDES SOIGNANTS","LYCEE PROF SIMONE VEIL","77  RUE RUE DE SALPINTE","ANGERS CEDEX 01",49,49015
"0500073H","LYCEE PROFESSIONNEL","ANNEXE LEP ROQUETTE COUTANCES",,"ST VAAST LA HOUGUE",50,50550
"0500082T","LYCEE GENERAL ET TECHNOLOGIQUE","HENRI CORNAT","36 rue HENRI CORNAT","VALOGNES",50,50700
"0500087Y","LPO LYCEE DES METIERS","CLAUDE LEHEC","Rue DAUPHINE","ST HILAIRE DU HARCOUET",50,50600
"0520027X","LYCEE GENERAL ET TECHNOLOGIQUE","ST EXUPERY","82 rue ANATOLE FRANCE","ST DIZIER CEDEX",52,52105
"0511565Z","LPO LYCEE DES METIERS","FRANCOIS ARAGO","1  RUE FRANCOIS ARAGO","REIMS CEDEX",51,51095
"0480594K","COURS DE FORMATION CONTINUE","DU LYCEE TECHNIQUE NATIONALISE","AVENUE DU 11 NOVEMBRE","MENDE",48,48000
"0501787W","LYCEE PROFESSIONNEL PRIVE","NOTRE DAME DE LA PROVIDENCE","9 rue DU CHANOINE BERENGER","AVRANCHES CEDEX",50,50303
"0501788X","LYCEE PROFESSIONNEL PRIVE","THOMAS HELYE","87 rue EMMANUEL LIAIS","CHERBOURG EN COTENTIN",50,50100
"0492072L","LYCEE TECHNOLOGIQUE PRIVE","CHAMP BLANC",,"LE LONGERON",49,49710
"0500112A","LYCEE GEN. ET TECHNOL. PRIVE","NOTRE DAME DE LA PROVIDENCE","9 rue DU CHANOINE BERENGER","AVRANCHES CEDEX",50,50303
"0520028Y","LYCEE GENERAL ET TECHNOLOGIQUE","BLAISE PASCAL","1 avenue MARCEL PAUL","ST DIZIER",52,52100
"0520032C","LP LYCEE DES METIERS","EMILE BAUDOT","77 rue DE LA MADELEINE","WASSY",52,52130
"0520041M","LYCEE PROFESSIONNEL","LES FRANCHISES","65 RUE EUGENE GALLION","LANGRES",52,52200
"0501954C","CTR FORMATION APPRENTIS MARIT.","LYCEE MARITIME AQUACOLE","RUE MATIGNON","CHERBOURG OCTEVILLE",50,50100
"0501789Y","LP PR LYCEE  DES METIERS","LE BON SAUVEUR","Rue E  DE SURVILLE","ST LO CEDEX",50,50001
"0501828R","LYCEE GENERAL ET TECHNOLOGIQUE","VICTOR GRIGNARD","12 rue GUILLAUME FOUACE","CHERBOURG EN COTENTIN",50,50100
"0492003L","LYCEE PROFESSIONNEL PRIVE","STE MARIE-GROUPE MAINE","3 RUE DU MARGAT","ANGERS CEDEX 02",49,49105
"0490959B","LYCEE PROFESSIONNEL","MARCEAU","RUE MARCEAU",,49,49413
"0490963F","LYCEE PROFESSIONNEL AGRICOLE","EDGAR PISANI","ROUTE DE MERON","MONTREUIL BELLAY",49,49260
"0480502K","LYCEE AGRICOLE PRIVE","TERRE NOUVELLE MARVEJOLS","2  AVENUE MARTYRS DE LA RESISTAN","MARVEJOLS",48,48100
"0480505N","LYCEE PROFESSIONNEL","ANNEXE LP E PEYTAVIN MENDE","2 TER RUE MARTHE DUPEYRON","LANGOGNE",48,48300
"0500060U","LYCEE GEN.ET TECHNOL.AGRICOLE","ST LO THERE",,"LE HOMMET D ARTHENAY",50,50620
"0510035L","LGT LYCEE DES METIERS","HUGUES LIBERGIER","55 rue LIBERGIER","REIMS CEDEX",51,51095
"0510037N","LP LYCEE DES METIERS","YSER","Allée DE L'ALOUETTE (3)","REIMS",51,51100
"0510038P","LP LYCEE DES METIERS","EUROPE","71 avenue DE L'EUROPE","REIMS CEDEX 2",51,51682
"0500119H","LYCEE GENERAL PRIVE","SEVIGNE","15  BOULEVARD GIRARD DESPRAIRIES","GRANVILLE",50,50400
"0500120J","LYCEE GEN.ET TECHNOL.PRIVE","INSTITUT SAINT-LO","18 rue DE L'ORATOIRE","AGNEAUX",50,50180
"0510006E","LYCEE GENERAL","PIERRE BAYEN","22 rue DU LYCEE","CHALONS EN CHAMPAGNE CEDEX",51,51037
"0510007F","LYCEE POLYVALENT","ETIENNE OEHMICHEN","8 avenue DU MONT HERY","CHALONS EN CHAMPAGNE CEDEX",51,51037
"0511130B","LYCEE GENERAL PRIVE","JEAN XXIII","18  RUE ANDRIEUX","REIMS CEDEX",51,51064
"0511131C","LYCEE GENERAL PRIVE","CHARLES PEGUY","2 BIS ALLEES PAUL DOUMER","CHALONS EN CHAMPAGNE CEDEX",51,51037
"0500002F","LYCEE POLYVALENT","EMILE LITTRE","Boulevard PASTEUR","AVRANCHES CEDEX",50,50303
"0500049G","LPO LYCEE DES METIERS","ROBERT DE MORTAIN","30 rue DE LA 30E DIV AMERICAINE","MORTAIN BOCAGE",50,50140
"0501825M","LYCEE PROFESSIONNEL PRIVE","INSTITUT SAINT LO","18  RUE DE L'ORATOIRE","AGNEAUX",50,50180
"0501860A","LYCEE PROFESSIONNEL","CAMILLE COROT","242 RUE DE L'EXODE","ST LO CEDEX",50,50015
