"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0351054F","LYCEE PROFESSIONNEL","CHARLES TILLON","9  ALLÉE GEORGES PALANTE","RENNES CEDEX",35,35009
"0342227L","UNITE DE PRODUCTION CULINAIRE","LYCEE FERDINAND FABRE","BOULEVARD JEAN MOULIN","BEDARIEUX",34,34600
"0350774B","LYCEE GEN ET TECHNOL PRIVE","ST SAUVEUR","16 place ST SAUVEUR","REDON CEDEX",35,35603
"0360002G","LYCEE GENERAL","ROLLINAT","Rue DU LYCEE","ARGENTON SUR CREUSE",36,36200
"0360008N","LYCEE GENERAL","JEAN GIRAUDOUX","31  AVENUE MARCEL LEMOINE","CHATEAUROUX",36,36000
"0340075X","LYCEE GENERAL","PAUL VALERY","55 rue PAUL VALERY","SETE",34,34200
"0333273D","LYCEE POLYVALENT","VACLAV HAVEL","5  AVENUE DANIELLE MITTERRAND","BEGLES",33,33130
"0352781H","ANTENNE DE CFA LYCEE J. D'ARC","ARFASS","61  RUE LA FONTAINE","RENNES CEDEX 7",35,35708
"0381670J","LYCEE GENERAL PRIVE","JEANNE D'ARC","2 rue RAYMOND POINCARE","LE PEAGE DE ROUSSILLON",38,38550
"0381678T","LYCEE GENERAL ET TECHNOL PR","ROBIN","IMPASSE DE L'EGLISE","VIENNE CEDEX",38,38204
"0381683Y","LYCEE GENERAL ET TECHNOL PR","NOTRE DAME DES VICTOIRES","1 rue DE LA TERRASSE","VOIRON CEDEX",38,38506
"0381803D","LYCEE GENERAL PRIVE","EXTERNAT NOTRE DAME","43  AVENUE MARCELLIN BERTHELOT","GRENOBLE",38,38100
"0381818V","LYCEE PROFESSIONNEL AGRICOLE","VOIRON","56  RUE DE LA MARTELLIERE","VOIRON CEDEX",38,38516
"0360600G","LYCEE GEN.ET TECHNOL.AGRICOLE","LEGTA","16 RUE H DE LATOUCHE","LA CHATRE",36,36400
"0380019P","LYCEE PROFESSIONNEL","DE DOMENE","RUE GUSTAVE RIVET","DOMENE",38,38420
"0380031C","LYCEE GENERAL","FANTIN LATOUR","17 PLACE SAINT BRUNO","GRENOBLE",38,38000
"0380034F","LYCEE POLYVALENT","LOUISE MICHEL","30 rue LOUISE MICHEL","GRENOBLE CEDEX 2",38,38037
"0380049X","LYCEE POLYVALENT","DE LA MATHEYSINE","3 rue LESDIGUIERES","LA MURE D ISERE",38,38350
"0380073Y","LPO LYCEE DES METIERS","ELIE CARTAN","2 rue JUSTIN VERNET","LA TOUR DU PIN CEDEX",38,38354
"0380083J","LGT LYCEE DES METIERS","GALILEE","124 avenue GENERAL LECLERC","VIENNE CEDEX",38,38209
"0380092U","LYCEE POLYVALENT","FERDINAND BUISSON","21 boulevard EDGAR KOFLER","VOIRON CEDEX",38,38506
"0351878B","LYCEE PROFESSIONNEL","COETLOGON","53  RUE ANTOINE JOLY","RENNES CEDEX",35,35083
"0381886U","LYCEE GENERAL ET TECHNOL AGRIC","SEYSSUEL AGROTEC",,"VIENNE CEDEX",38,38206
"0370040T","LP LYCEE DES METIERS","ALBERT BAYET","9  RUE DU COMMANDANT BOURGOIN","TOURS CEDEX 1",37,37058
"0370054H","LP LYCEE DES METIERS","MARTIN NADAUD","67 rue JEANNE LABOURBE","ST PIERRE DES CORPS",37,37700
"0371260U","LYCEE PROFESSIONNEL AGRICOLE",,"13 ROUTE DE BLERE","AMBOISE",37,37400
"0370737A","LYCEE GEN. ET TECHNOL. PRIVE","SAINT DENIS","19 AVENUE DU GAL DE GAULLE","LOCHES CEDEX",37,37601
"0352686E","LYCEE GENERAL ET TECHNOLOGIQUE","ANITA CONTI","Esplanade ANITA CONTI","BRUZ CEDEX",35,35174
"0352446U","LYCEE PROF PRIVE DES METIERS","STE THERESE","1 rue DU 8 MAI","LA GUERCHE DE BRETAGNE",35,35130
"0382099A","LPO LYCEE DES METIERS","ROGER DESCHAUX","5 rue DES PIES","SASSENAGE",38,38360
"0381732B","LYCEE PROF PRIVE DES METIERS","FRANCOIS VERGUIN","Route DE SABLONS","LE PEAGE DE ROUSSILLON",38,38550
"0371211R","LP LYCEE DES METIERS","BEAUREGARD","15 RUE ANDRE BAUCHANT","CHATEAU RENAULT",37,37110
"0370788F","LYCEE PROFESSIONNEL PRIVE","RICHELIEU","10 RUE BALESCHOUX","TOURS",37,37000
"0352466R","EMOP INSTALLATIONS ELECTRIQUES","LYCEE DES METIERS BEAUMONT","RUE DU LYCEE","REDON CEDEX",35,35605
"0351943X","LYCEE PROF AGRICOLE PRIVE","LA NOE ST YVES","RUE SAINT EMERANCE","BAIN DE BRETAGNE",35,35470
"0351947B","LYCEE PROF AGRICOLE PRIVE","EDMOND MICHELET","PARC DE MONTAUBERT","FOUGERES",35,35300
"0351956L","LYCEE PROF.AGRICOLE PRIVE",,"RUE SURCOUF","PLEINE FOUGERES",35,35610
"0382169B","LYCEE PROFESSIONNEL PRIVE","LES PRAIRIES","31 rue MAINSSIEUX","VOIRON",38,38500
"0351961S","LYCEE PROF.AGRICOLE PRIVE","PRIVE RURAL","RUE DE LA FIEFFE","ST GEORGES DE REINTEMBAULT",35,35420
"0360011S","LP LYCEE DES METIERS","LES CHARMILLES","1 rue ETIENNE DE LA BOETIE","CHATEAUROUX CEDEX",36,36019
"0360043B","LYCEE POLYVALENT","BLAISE PASCAL","27  BOULEVARD BLAISE PASCAL","CHATEAUROUX CEDEX",36,36019
"0371326R","LYCEE PROFESSIONNEL PRIVE","STE CLOTILDE ST JOSEPH","9 RUE HENRI DUNAN","AMBOISE",37,37400
"0332722E","LYCEE GENERAL ET TECHNOLOGIQUE","PAPE CLEMENT","1  RUE LEO LAGRANGE","PESSAC CEDEX",33,33605
"0332745E","LYCEE GENERAL","JEAN MONNET","70  AVENUE GL DE GAULLE","BLANQUEFORT CEDEX",33,33294
"0320002D","LYCEE GENERAL ET TECHNOLOGIQUE","PARDAILHAN","CHEMIN DE BARON","AUCH CEDEX",32,32008
"0350793X","LYCEE POLYVALENT PRIVE","ST ETIENNE","99 rue DE LA CHALOTAIS","CESSON SEVIGNE CEDEX",35,35512
"0350801F","LYCEE GENERAL PRIVE","JEAN PAUL II","2 rue ANTOINE DE SAINT EXUPERY","ST GREGOIRE CEDEX",35,35762
"0342266D","LYCEE GENERAL","INTERNAT D'EXCELLENCE","4 rue DU 81E REGIMENT D'INFANTER","MONTPELLIER",34,34090
"0350005R","LYCEE POLYVALENT","YVON BOURGES","33  RUE DES ECOLES","DINARD CEDEX",35,35803
"0350022J","LYCEE GENERAL ET TECHNOLOGIQUE","BEAUMONT","10 RUE DU LYCEE","REDON CEDEX",35,35605
"0350030T","LPO LYCEE DES METIERS","PIERRE MENDES FRANCE","34 rue BAHON RAULT","RENNES CEDEX",35,35069
"0350032V","LP LYCEE DES METIERS","LOUIS GUILLOUX","76  AVENUE DES BUTTES DE COESMES","RENNES CEDEX 7",35,35703
"0341967D","EMOP ELECTRICITE","LYCEE JEAN MOULIN","AVENUE DES MARTYRS DE LA RESISTA","BEZIERS CEDEX",34,34521
"0341971H","UNITE DE PRODUCTION CULINAIRE","LYCEE JEAN MERMOZ","717 AVENUE JEAN MERMOZ","MONTPELLIER CEDEX 2",34,34060
"0342066L","LPO LYCEE DES METIERS","JEAN JAURES","480  AVENUE SAINT SAUVEUR DU PIN","ST CLEMENT DE RIVIERE",34,34980
"0371352U","LYCEE PRIVE","STE THERESE",,"VOUVRAY",37,37210
"0401002X","LPO LYCEE DES METIERS","HAROUN TAZIEFF","Boulevard ST VINCENT DE PAUL","ST PAUL LES DAX CEDEX",40,40993
"0420076E","LYCEE PROFESSIONNEL","CARNOT","35 avenue CARNOT","ROANNE CEDEX",42,42328
"0420080J","LYCEE PROFESSIONNEL","JEREMIE DE LA RUE","ROUTE DE SAINT BONNET","CHARLIEU",42,42190
"0382854W","LYCEE GENERAL ET TECHNOL PR","SAINT CHARLES","1 place DES CAPUCINS","VIENNE CEDEX",38,38217
"0382895R","LYCEE POLYVALENT","PHILIBERT DELORME","68 boulevard SAINT HUBERT","L ISLE D ABEAU CEDEX",38,38081
"0382920T","LYCEE GENERAL ET TECHNOLOGIQUE","MARIE CURIE","Avenue DU 8 MAI 1945","ECHIROLLES CEDEX",38,38435
"0620056Z","LPO LYCEE DES METIERS","CARNOT","1 RUE SADI CARNOT","BRUAY LA BUISSIERE CEDEX",62,62701
"0620063G","LGT LYCEE DES METIERS","SOPHIE BERTHELOT","224  BOULEVARD GAMBETTA","CALAIS CEDEX",62,62104
"0620108F","LYCEE GENERAL ET TECHNOLOGIQUE","CONDORCET","25  RUE ETIENNE DOLET","LENS CEDEX",62,62303
"0620150B","LP LYCEE DES METIERS","JOLIOT-CURIE","9 rue LEO LAGRANGE","CARVIN CEDEX",62,62212
"0592712C","LYCEE PROFESSIONNEL","LOUIS ARMAND","RUE MERMOZ","JEUMONT CEDEX",59,59571
"0592929N","LYCEE GEN.ET TECHNOL.PRIVE","SAINTE THERESE","4 PLACE GUILLEMIN","AVESNES SUR HELPE CEDEX",59,59362
"0592963A","LYCEE POLYVALENT PRIVE","SAINT MARTIN","54 rue DE LILLE","ROUBAIX CEDEX 1",59,59062
"0592965C","LYCEE POLYVAL PRIVE DES METIER","EIC LICP","27 RUE DU DRAGON","TOURCOING CEDEX",59,59202
"0592973L","LYCEE PROFESSIONNEL PRIVE","SAINT FRANCOIS D'ASSISE","59 AVENUE DE LA FOSSE AUX CHÊNES","ROUBAIX CEDEX 1",59,59060
"0592976P","LYCEE POLYVALENT PRIVE","HELENE BOUCHER","15 rue ROGER SALENGRO","SOMAIN",59,59490
"0620163R","LYCEE PROFESSIONNEL","DE L'AA","1 AVENUE DE ROME","ST OMER CEDEX",62,62505
"0620189U","LP LYCEE DES METIERS","PIERRE DE COUBERTIN","320  BOULEVARD DU 8 MAI","CALAIS CEDEX",62,62225
"0611158C","LYCEE TECHNOLOGIQUE PRIVE","SAINTE MARIE","27 RUE JULES GEVELOT","FLERS CEDEX",61,61103
"0593410L","COURS DE PROMOTION SOCIALE","LYCEE POLYVALENT REGIONAL","AVENUE DE BEAUPRE","HAUBOURDIN CEDEX",59,59481
"0593016H","LYCEE PROFESSIONNEL PRIVE","GAMBETTA","2 RUE D'ANTIN","LILLE",59,59000
"0593030Y","LYCEE PROFESSIONNEL PRIVE LYCE","NOTRE-DAME DU SACRE COEUR","6 rue DU MARECHAL JOFFRE","LOOS",59,59120
"0641545G","LYCEE AGRICOLE PRIVE","INST JEAN ERRECART","ROUTE AICIRITS","ST PALAIS",64,64120
"0690031J","LYCEE GENERAL ET TECHNOLOGIQUE","ANTOINE DE SAINT-EXUPERY","82 RUE HENON","LYON CEDEX 04",69,69316
"0690037R","LYCEE GENERAL ET TECHNOLOGIQUE","LA MARTINIERE DIDEROT","18 place GABRIEL RAMBAUD","LYON CEDEX 01",69,69283
"0601363F","LYCEE PROFESSIONNEL","ROBERT DESNOS","2 rue JULES MICHELET","CREPY EN VALOIS CEDEX",60,60803
"0601995T","CUISINE CENTRALE","LYCEE MARIE CURIE","BOULEVARD PIERRE DE COUBERTIN","NOGENT SUR OISE",60,60180
"0593040J","LYCEE POLYVALENT PRIVE","NOTRE-DAME DE LA PROVIDENCE","Rue DES GLYCINES","ORCHIES CEDEX",59,59358
"0593061G","LYCEE POLYVALENT PRIVE","SAINT LUC","31 boulevard DE LA LIBERTE","CAMBRAI CEDEX",59,59405
"0593496E","LYCEE PROFESSIONNEL",,"89 RUE DE LA CHAUSSIETTE","CONDE SUR L ESCAUT",59,59163
"0601728C","GRETA OISE CENTRALE","LYCÉE M. CURIE NOGENT SUR OISE","Boulevard PIERRE DE COUBERTIN","NOGENT SUR OISE",60,60180
"0641907A","LYCEE GEN.ET TECHNOL.PRIVE","BERNAT  ETXEPARE","12 BIS AVENUE MOUNEDE","BAYONNE",64,64100
"0601702Z","LYCEE GEN.ET TECHNOL.PRIVE","GUYNEMER","8 B AVENUE DE LA FORET","COMPIEGNE CEDEX",60,60205
"0611179A","LYCEE TECHNOLOGIQUE PRIVE","ST FRANCOIS DE SALES","100 RUE LABILLARDIERE","ALENCON",61,61000
"0610026X","LYCEE GENERAL ET TECHNOLOGIQUE","NAPOLEON","15 rue DES SPORTS","L AIGLE CEDEX",61,61306
"0610002W","LYCEE GENERAL ET TECHNOLOGIQUE","MARGUERITE DE NAVARRE","Avenue DU GENERAL LECLERC","ALENCON CEDEX",61,61014
"0601255N","CENTRE DE PROMOTION SOCIALE","DU LYCEE TECHNIQUE","3  AVENUE MONTAIGNE","BEAUVAIS",60,60000
"0601259T","CENTRE DE PROMOTION SOCIALE","LYCEE ENSEIGNEMENT PROFESSION.","49 RUE D ORROIRE","NOYON",60,60400
"0610692W","LYCEE POLYVALENT PRIVE","ST FRANCOIS DE SALES","100 rue LABILLARDIERE","ALENCON CEDEX",61,61007
"0610698C","LYCEE POLYVALENT PRIVE","SAINT THOMAS D'AQUIN","1  PLACE C  DUPERRON","FLERS CEDEX",61,61105
"0610700E","LYCEE GENERAL PRIVE","BIGNON","3 rue DE LA COMEDIE","MORTAGNE AU PERCHE",61,61400
"0630021F","LPO LYCEE DES METIERS","LA FAYETTE","21 boulevard ROBERT SCHUMAN","CLERMONT FERRAND CEDEX 1",63,63002
"0611182D","LYCEE PROFESSIONNEL","GABRIEL","7 rue SAINT EXUPERY","ARGENTAN CEDEX",61,61203
"0650026A","LYCEE GENERAL ET TECHNOLOGIQUE","MARIE CURIE","Rue GEORGES LEDORMEUR","TARBES CEDEX 9",65,65930
"0640018X","LYCEE PROFESSIONNEL","LES ROCAILLES","11 RUE P MOUSSEMPES","BIARRITZ CEDEX",64,64204
"0640042Y","LP LYCEE DES METIERS","HAUTE VUE","AVENUE DES CIMES","MORLAAS",64,64160
"0640047D","LYCEE GENERAL","JULES SUPERVIELLE","BOULEVARD F.MITTERRAND","OLORON STE MARIE CEDEX",64,64404
"0596942A","ANTENNE DE CFA","LYCEE V LABBE LA MADELEINE - U","41 RUE PAUL DOUMER","LA MADELEINE",59,59110
"0600048B","LYCEE PROFESSIONNEL","DONATION DE ROTHSCHILD","Château DE LAVERSINE","ST MAXIMIN",60,60740
"0620257T","LYCEE PROFESSIONNEL","ALAIN SAVARY - JULES FERRY","14  AVENUE JEAN ZAY","ARRAS CEDEX",62,62022
"0622102Y","LYCEE GENERAL PRIVE","BAUDIMONT","32 RUE BAUDIMONT","ARRAS CEDEX",62,62008
"0600062S","LP LYCEE DES METIERS","MARIE CURIE","Boulevard PIERRE DE COUBERTIN","NOGENT SUR OISE",60,60180
"0595884A","LYCEE POLYVALENT","ANDRE LURCAT","113 RUE D'HAUTMONT","MAUBEUGE CEDEX",59,59602
"0595995W","GRETA BASSIN DE LILLE","LYCEE EUROPEEN MONTEBELLO","196 BOULEVARD MONTEBELLO","LILLE CEDEX",59,59025
"0622183L","LYCEE PROFESSIONNEL","A LP MENDES FRANCE BRUAYARTOIS","RUE DE SAINT OMER","BRUAY LA BUISSIERE",62,62700
"0622195Z","LYCEE PROFESSIONNEL PRIVE","SAINTE MARIE","42 rue DU SAINT ESPRIT","FRUGES",62,62310
"0622206L","LYCEE PROFESSIONNEL","ANNEXE DU LP DE SALLAUMINES","26 RUE DE COURRIERES","SALLAUMINES",62,62430
"0620006V","LYCEE GENERAL ET TECHNOLOGIQUE","ROBESPIERRE","AVENUE DES FUSILLES","ARRAS CEDEX",62,62022
"0620010Z","LYCEE PROFESSIONNEL","LAZARE CARNOT","21 BOULEVARD CARNOT","ARRAS CEDEX",62,62022
"0640052J","LYCEE GENERAL ET TECHNOLOGIQUE","GASTON FEBUS","20 avenue GEORGES MOUTET","ORTHEZ CEDEX",64,64301
"0640058R","LYCEE PROFESSIONNEL","HONORE BARADAT","28  AVENUE PIERRE MASSE","PAU CEDEX 9",64,64050
"0640066Z","LP LYCEE DES METIERS","RAMIRO ARRUE","4 rue RODOLPHE CAILLAUX","ST JEAN DE LUZ",64,64500
"0592921E","LYCEE GEN. ET TECHNOL. PRIVE","SAINT REMI","10 rue NOTRE DAME DES VICTOIRES","ROUBAIX",59,59100
"0381513N","LYCEE MILITAIRE NATIONAL","PUPILLES DE L'AIR","1  ALLÉE SAINT EXUPERY","ST ISMIER CEDEX",38,38332
"0381599G","LYCEE GENERAL ET TECHNOLOGIQUE","DE L'EDIT","24 avenue DU LYCEE","ROUSSILLON",38,38150
"0381603L","LYCEE POLYVALENT","ANDRE  ARGOUGES","61 rue LEON JOUHAUX","GRENOBLE CEDEX 2",38,38029
"0420014M","LYCEE GENERAL ET TECHNOLOGIQUE","JACOB HOLTZER","5  RUE MICHELET","FIRMINY CEDEX",42,42704
"0420021V","LP LYCEE DES METIERS","PIERRE COTON",,"NERONDE",42,42510
"0420032G","LYCEE GENERAL","JULES FERRY","13 BOULEVARD JULES FERRY","ROANNE CEDEX",42,42328
"0420036L","LYCEE PROFESSIONNEL",,,"ROCHE LA MOLIERE",42,42230
"0420043U","LYCEE GENERAL ET TECHNOLOGIQUE","JEAN MONNET","16  RUE PORTAIL ROUGE","ST ETIENNE CEDEX 2",42,42014
"0420047Y","LYCEE TECHNOLOGIQUE","D'ALEMBERT","20 RUE DE LA JOMAYERE","ST ETIENNE CEDEX 2",42,42023
"0420049A","LP LYCEE DES METIERS","BENOIT CHARVET","19 BIS RUE DE LAHARPE","ST ETIENNE CEDEX 1",42,42021
"0420073B","LYCEE PROFESSIONNEL","JACOB HOLTZER","5 RUE MICHELET","FIRMINY CEDEX",42,42704
"0381660Y","LYCEE GENERAL PRIVE","SAINTE CECILE","18 avenue MARECHAL FOCH","LA COTE ST ANDRE",38,38260
"0400741N","CTRE PROMOTION SOCIALE","LYCEE","ROUTE DE GEAUNE","AIRE SUR L ADOUR",40,40800
"0410018X","LYCEE GEN.ET TECHNOL.AGRICOLE","VENDOME",,"VENDOME CEDEX",41,41106
"0381630R","LYCEE POLYVALENT","UNITÉ SOINS ETUDES GRÉSIVAUDAN","8 avenue MAQUIS GRESIVAUDAN","LA TRONCHE CEDEX",38,38702
"0692557E","COURS DE PROMOTION SOCIALE","DU LYCEE COLBERT","11 RUE MARIUS BERLIET","LYON CEDEX 08",69,69373
"0690641X","LYCEE PROF PRIVE DES METIERS","SAINT MARC","4 rue SAINTE HELENE","LYON CEDEX 02",69,69287
"0690654L","LYCEE PROFESSIONNEL PRIVE","INTERFORA","6 RUE JEAN MACE","ST FONS",69,69190
"0691723Y","LYCEE PROFESSIONNEL PRIVE","DE COIFFURE DE LYON","28 RUE VALENTIN COUTURIER","LYON",69,69004
"0690697H","LYCEE PROFESSIONNEL PRIVE","LA FAVORITE SAINTE THERESE","107 RUE CDT CHARCOT","STE FOY LES LYON",69,69110
"0720840X","LYCEE GENERAL PRIVE","ST PAUL","24 RUE LEDRU ROLLIN","MAMERS",72,72600
"0730029K","LGT LYCEE DES METIERS","AMBROISE CROIZAT","244 avenue DE LA LIBERATION","MOUTIERS TARENTAISE CEDEX",73,73604
"0730037U","LYCEE GENERAL ET TECHNOLOGIQUE","PAUL HEROULT","307 avenue DU MONT CENIS","ST JEAN DE MAURIENNE CEDEX",73,73302
"0720896H","LYCEE MILITAIRE NATIONAL","PRYTANEE NATIONAL MILITAIRE","22  RUE DU COLLEGE","LA FLECHE CEDEX",72,72208
"0721493G","LYCEE GENERAL ET TECHNOLOGIQUE","MARGUERITE YOURCENAR","2  RUE DU MIROIR","LE MANS CEDEX 1",72,72007
"0730050H","LP LYCEE DES METIERS","MONGE","119 avenue MARIUS BERROIR","CHAMBERY",73,73000
"0631159T","LYCEE PROFESSIONNEL AGRICOLE",,,"LEMPDES",63,63370
"0672723W","SECTION ENSEIGNT PROFESSIONNEL","DU LYCEE STANISLAS","7 RUE DU LYCEE ALTENSTADT","WISSEMBOURG CEDEX",67,67163
"0631223M","LYCEE PROFESSIONNEL AGRICOLE","DES COMBRAILLES","AVENUE DE LA GARE","ST GERVAIS D AUVERGNE",63,63390
"0631861F","LYCEE GENERAL ET TECHNOLOGIQUE","RENE DESCARTES","AVENUE JULES FERRY","COURNON D AUVERGNE CEDEX",63,63801
"0711785E","EMOP ENTRETIEN GENER.BATIMENTS","LYCEE RENE CASSIN MACON","49 BOULEVARD NEUF CLES","MACON CEDEX",71,71018
"0680015X","LYCEE GENERAL ET TECHNOLOGIQUE","ALFRED KASTLER","5  RUE DU LUSPEL","GUEBWILLER CEDEX",68,68502
"0680031P","LYCEE GENERAL ET TECHNOLOGIQUE","ALBERT SCHWEITZER","8  BOULEVARD DE LA MARNE","MULHOUSE CEDEX 2",68,68068
"0680039Y","LP LYCEE DES METIERS","F.D. ROOSEVELT","17  BOULEVARD PRESID ROOSEVELT","MULHOUSE CEDEX 2",68,68060
"0693375U","LYCEE PROF PRIVE des METIERS","NOTRE DAME","72  RUE DES JARDINIERS","VILLEFRANCHE SUR SAONE CED",69,69657
"0641398X","CTRE PROMOTION SOCIALE","DU LYCEE SAINT-CRICQ","AVENUE DES ETATS UNIS","PAU",64,64000
"0641732K","LYCEE GENERAL ET TECHNOLOGIQUE","SAINT-JOHN PERSE","2 rue J  FERRY","PAU CEDEX",64,64012
"0692681P","LYCEE HORTICOLE PRIVE","DE LYON PRESSIN","81 CHEMIN DE BEAUNANT","ST GENIS LAVAL",69,69230
"0624251J","LYCEE POLYVALENT","GIRAUX SANNIER","RUE G SANNIER ST MARTIN BOULOGNE","BOULOGNE SUR MER CEDEX",62,62222
"0641408H","LYCEE PROFESSIONNEL PRIVE","STE BERNADETTE","1 AVENUE DE GASSION","AUDAUX",64,64190
"0631409P","LP LYCEE DES METIERS","CAMILLE CLAUDEL","4 rue DE LA CHARME","CLERMONT FERRAND",63,63100
"0630073M","LYCEE PROFESSIONNEL","B.T.P","29 ROUTE DE MARSAT","VOLVIC",63,63530
"0692718E","LYCEE PROFESSIONNEL","JACQUES BREL","7 AVENUE D'OSCHATZ","VENISSIEUX",69,69200
"0681801N","LPO LYCEE DES METIERS","CHARLES DE GAULLE","14 route DE RUELISHEIM","PULVERSHEIM",68,68840
"0681809X","LPO LYCEE DES METIERS","ETTORE BUGATTI","8 RUE DES JONQUILLES","ILLZACH",68,68110
"0691680B","LYCEE PROF PRIVE des METIERS","SAINT CHARLES","2831  ROUTE DE STRASBOURG","RILLIEUX LA PAPE",69,69140
"0641841D","LYCEE PROFESSIONNEL MARITIME",,"18 AVENUE MARINELLA","ST JEAN DE LUZ CEDEX",64,64503
"0623463C","LP LYCEE DES METIERS","NORMANDIE-NIEMEN","RUE DU GROUPE NORMANDIE NIEMEN","CALAIS CEDEX",62,62102
"0640079N","LYCEE PROFESSIONNEL","PIERRE ET MARIE CURIE","Avenue PIERRE ANGOT","MOURENX",64,64150
"0640098J","LP LYCEE DES METIERS","D'ART GABRIEL HAURE-PLACE","6 avenue CARMEL LASPORTES","COARRAZE",64,64800
"0640233F","LYCEE PROFESSIONNEL AGRICOLE",,"DOMAINE DE MONTFLEURY","GELOS",64,64110
"0623327E","LYCEE PROFESSIONNEL","JEAN MOULIN","3 RUE JEAN MOULIN","BREBIERES",62,62117
"0681888H","LYCEE POLYVALENT","AMELIE ZURCHER","30 rue JEAN MERMOZ","WITTELSHEIM",68,68310
"0640122K","LYCEE GENERAL PRIVE","LE BEAU RAMEAU LESTELLE BETHAR","1 place SAINT MICHEL","LESTELLE BETHARRAM",64,64800
"0640134Y","LYCEE GEN.ET TECHNOL.PRIVE","ST THOMAS D AQUIN","Rue BISCARBIDEA","ST JEAN DE LUZ",64,64500
"0624141P","LPO LYCEE DES METIERS","LEONARD DE VINCI","Rue PASTEUR MARTIN LUTHER KING","CALAIS CEDEX",62,62228
"0640001D","LPO LYCEE DES METIERS","CANTAU","1 ALLÉE DE CANTAU","ANGLET",64,64600
"0640011P","LYCEE GENERAL ET TECHNOLOGIQUE","LOUIS DE FOIX","4 avenue JEAN ROSTAND","BAYONNE CEDEX",64,64103
"0721094Y","LYCEE POLYVALENT","LE MANS SUD","128 rue HENRI CHAMPION","LE MANS CEDEX 2",72,72058
"0690125L","LP LYCEE DES METIERS","CAMILLE CLAUDEL","15 rue DE CUIRE","LYON",69,69004
"0672050P","LYCEE GEN.ET TECHNOL.PRIVE","ECOLE COMMERCIALE PRIVEE","19 rue DE WISSEMBOURG","STRASBOURG",67,67000
"0673005C","LYCEE PROFESSESSIONNEL","I.E.S.C.","14 rue DU ZORNHOFF","SAVERNE",67,67700
"0690010L","LP LYCEE DES METIERS","TONY GARNIER","235 boulevard PINEL","BRON CEDEX",69,69676
"0672984E","FARPI","LYCEE KLEBER","25 PLACE DE BORDEAUX","STRASBOURG",67,67000
"0721009F","LYCEE AGRICOLE PRIVE","VAL DE SARTHE","ROUTE DU MANS","SABLE SUR SARTHE CEDEX",72,72303
"0721548S","LYCEE GENERAL ET TECHNOLOGIQUE","ANDRE MALRAUX","3  RUE DE BEAU SOLEIL","ALLONNES CEDEX",72,72703
"0690047B","LP LYCEE DES METIERS","MAGENTA","64 rue MAGENTA","VILLEURBANNE",69,69100
"0690082P","LYCEE GENERAL ET TECHNOLOGIQUE","JEAN PERRIN","48  RUE PIERRE BAIZET","LYON CEDEX 09",69,69338
"0693095P","LYCEE PROFESSIONNEL","FRANCOIS CEVERT","104 chemin DE LA SAUVEGARDE","ECULLY CEDEX",69,69132
"0631737W","LYCEE PROFESSIONNEL PRIVE","SAINT ALYRE","20 rue SAINTE GEORGE","CLERMONT FERRAND CEDEX 1",63,63037
"0631457S","LYCEE PROFESSIONNEL AGRICOLE","COMBRAILLES-SITE DE PONTAUMUR","RUE MONTAIGNE","PONTAUMUR",63,63380
"0690514J","LYCEE GEN.ET TECHNOL.PRIVE","CHARLES DE FOUCAULD","6  RUE BARA","LYON",69,69003
"0690529A","LYCEE GENERAL PRIVE","DEBORDE","72 rue NEY","LYON",69,69006
"0690550Y","LYCEE GENERAL PRIVE","SAINT JOSEPH","7  RUE LIEUTENANT AUDRAS","TASSIN LA DEMI LUNE",69,69160
"0690563M","LYCEE GEN.ET TECHNOL.PRIVE","SAINT LOUIS-SAINT BRUNO","16  RUE DES CHARTREUX","LYON CEDEX 01",69,69283
"0681902Y","ECOLE SECONDAIRE PRIVEE","LYCEE DANIEL","15 AVENUE FOCH","GUEBWILLER",68,68500
"0681917P","LYCEE GEN.ET TECHNOL.PRIVE","INSTITUTION DON BOSCO","60 rue D'ENSISHEIM","WITTENHEIM CEDEX",68,68272
"0680161F","LYCEE PROFESSIONNEL PRIVE","INSTITUTION DON BOSCO","60 rue D'ENSISHEIM","WITTENHEIM CEDEX",68,68272
"0672615D","LYCEE POLYVALENT","LOUIS MARCHAL","2 route INDUSTRIELLE DE LA HARDT","MOLSHEIM CEDEX",67,67122
"0673050B","LYCEE GENERAL","ECOLE EUROPEENNNE DE STRASBOUR","2  RUE PETER SCHWARBER","STRASBOURG",67,67000
"0672683C","LANGUE ET CULT.REGIONALE","LCR   LYCEE L.COUFFIGNAL","6  RUE DE LA TOUSSAINT","STRASBOURG CEDEX 9",67,67975
"0681486W","CTR DE FORMATION D APPRENTIS","DU LYCEE ROOSEVELT","18  RUE DE LA TOUR DU DIABLE","MULHOUSE CEDEX 2",68,68069
"0692997H","GRETA TETE D OR","LYCEE DU PARC","1 BOULEVARD ANATOLE FRANCE","LYON CEDEX 06",69,69458
"0693002N","GRETA DU RHONE","LYCEE LOUIS ARMAND","AVENUE DU BEAUJOLAIS","VILLEFRANCHE SUR SAONE CED",69,69651
"0693504J","LPO LYCEE DES METIERS","FRANCOIS RABELAIS","CHEMIN DU DODIN","DARDILLY CEDEX",69,69571
"0693518Z","LYCEE GENERAL ET TECHNOLOGIQUE","BLAISE PASCAL","2 avenue BERGERON","CHARBONNIERES LES BAINS",69,69260
